epoch,hidden_size,accuracy
0,4096,0.8862
1,4096,0.9035
2,4096,0.9132
3,4096,0.9176
4,4096,0.9229
5,4096,0.929
6,4096,0.9321
7,4096,0.9363
8,4096,0.9392
9,4096,0.9414
10,4096,0.9436
11,4096,0.9453
12,4096,0.9466
13,4096,0.9388
14,4096,0.95
15,4096,0.9454
16,4096,0.94
17,4096,0.95
18,4096,0.9513
19,4096,0.9453
20,4096,0.9502
21,4096,0.9445
22,4096,0.9479
23,4096,0.9475
24,4096,0.947
25,4096,0.9418
26,4096,0.9376
27,4096,0.9376
28,4096,0.9391
29,4096,0.936
30,4096,0.935
31,4096,0.9363
32,4096,0.9356
33,4096,0.9385
34,4096,0.9384
35,4096,0.9366
36,4096,0.9364
37,4096,0.9351
38,4096,0.9371
39,4096,0.9324
